name,,date,salary,team,opposing team,score,value,conesensus,avg fp,opp pitcher,hitting grade,hitting grade,savant grade,avg exit velo,hard hit %,barrel %,ops,slg,opp pitcher era,opp pitcher grade,team r/g
Alek Thomas,OF/UTL,"July 31, 2023",2500,ARI,SF,0,3.6,8.04,6.94,Jakob Junis,SF,45.575,48,88.8,41.6,6.6,0.68,0.404,4.55,60,4.9
Jorge Mateo,SS/UTL,"July 31, 2023",2400,BAL,TOR,9,3.6,8.41,7.88,Chris Bassitt,TOR,30.875,46.6,88,38.4,6.4,0.615,0.348,4.12,53.9,5
Christian Bethancourt,C1B/UTL,"July 31, 2023",2300,TBR,NYY,0,3.6,8.27,6.42,Jhony Brito,NYY,37.625,64.6,89.4,43.2,8.9,0.648,0.396,4.7,32.6,5.4
Brice Turang,2B/SS/UTL,"July 31, 2023",2300,MIL,WSH,0,3.6,9.59,6.14,Jake Irvin,WSH,22.55,24.4,86.8,29.1,3.2,0.566,0.305,4.96,27.7,4.2
Corbin Carroll,OF/UTL,"July 31, 2023",4200,ARI,SF,15.7,3.5,12.4,13.47,Jakob Junis,SF,90.1,63.7,90.6,41.7,8.7,0.894,0.534,4.55,60,4.9
Juan Soto,OF/UTL,"July 31, 2023",4100,SDP,COL,15.2,3.5,14.83,12.16,Austin Gomber,COL,86.825,82.5,93.1,57.8,12.7,0.893,0.478,6.19,19.6,4.5
Christian Walker,C1B/UTL,"July 31, 2023",3500,ARI,SF,6,3.5,10.63,11.74,Jakob Junis,SF,76.55,69.1,89.1,41.5,9.7,0.824,0.496,4.55,60,4.9
Xander Bogaerts,SS/UTL,"July 31, 2023",3400,SDP,COL,3,3.5,13.29,9.53,Austin Gomber,COL,66.875,49.7,87.7,34.8,6.8,0.744,0.402,6.19,19.6,4.5
Carlos Santana,C1B/UTL,"July 31, 2023",3300,PIT,WSH,3,3.5,11.72,9.91,Jake Irvin,WSH,50.875,37,88.7,34.4,5.1,0.701,0.387,4.96,27.7,4.2
Giancarlo Stanton,OF/UTL,"July 31, 2023",3200,NYY,TB,0,3.5,9.36,9.85,Tyler Glasnow,TB,51.75,91.3,93.5,52.5,15.3,0.747,0.459,3.78,76.2,4.4
Travis d'Arnaud,C1B/UTL,"July 31, 2023",3200,ATL,LAA,0,3.5,10.82,10.21,Chase Silseth,LAA,79.175,79.2,90.3,41.6,11.9,0.816,0.478,3.99,70,5.6
Jake Cronenworth,C1B/2B/UTL,"July 31, 2023",3200,SDP,COL,18.7,3.5,11.77,8.23,Austin Gomber,COL,41.2,28.3,87,31.3,3.9,0.666,0.353,6.19,19.6,4.5
Michael Harris II,OF/UTL,"July 31, 2023",3100,ATL,LAA,0,3.5,11.63,8.97,Chase Silseth,LAA,65.4,64.6,90.7,45.5,8.9,0.743,0.429,3.99,70,5.6
Eugenio Suarez,3B/UTL,"July 31, 2023",3000,SEA,BOS,6.5,3.5,9.45,9.27,Nick Pivetta,BOS,47.625,81.5,90.8,46.7,12.4,0.689,0.368,4.83,55.7,4.5
LaMonte Wade Jr.,C1B/UTL,"July 31, 2023",2900,SFG,ARI,0,3.5,10.36,8.76,Ryne Nelson,ARI,85.625,73.8,88.2,43.3,10.6,0.849,0.439,4.98,33.1,4.7
Seiya Suzuki,OF/UTL,"July 31, 2023",2800,CHC,CIN,3.5,3.5,10.08,8.94,Andrew Abbott,CIN,62.025,63.7,92.1,49.5,8.7,0.726,0.391,2.45,81.4,4.7
Orlando Arcia,SS/UTL,"July 31, 2023",2800,ATL,LAA,0,3.5,9.35,8.88,Chase Silseth,LAA,75.975,42.8,88.3,41.6,5.9,0.764,0.42,3.99,70,5.6
