Name,Position,Team,Opp,Salary,Consensus,PPG,opp pitcher,slg,opp p era,pitcher consensus,era
Freddie Freeman,C1B/UTL,LAD,MIA,4200,12.22,14.64,Sandy Alcantara,0.581,4.09,0,0
Max Muncy,3B/UTL,LAD,MIA,3600,10.65,12,Sandy Alcantara,0.466,4.09,0,0
Will Smith,C1B/UTL,LAD,MIA,3600,10.45,11.5,Sandy Alcantara,0.465,4.09,0,0
James Outman,OF/UTL,LAD,MIA,2900,9.04,9.77,Sandy Alcantara,0.431,4.09,0,0
Amed Rosario,SS/UTL,LAD,MIA,2800,0,9.12,Sandy Alcantara,0.383,4.09,0,0
Chris Taylor,OF/3B/SS/UTL,LAD,MIA,2600,0,8.75,Sandy Alcantara,0.426,4.09,0,0
Kike Hernandez,2B/SS/OF/UTL,LAD,MIA,2400,0,7.32,Sandy Alcantara,0.342,4.09,0,0
Miguel Rojas,SS/2B/UTL,LAD,MIA,2300,7.66,6.11,Sandy Alcantara,0.297,4.09,0,0
Shohei Ohtani,OF/UTL,LAA,TB,4500,13.15,15.16,Erasmo Ramirez,0.664,5.72,0,0
Mickey Moniak,OF/UTL,LAA,TB,2900,9.43,9.85,Erasmo Ramirez,0.502,5.72,0,0
Brandon Drury,C1B/2B/UTL,LAA,TB,2700,10.34,9.51,Erasmo Ramirez,0.471,5.72,0,0
Luis Rengifo,2B/SS/OF/UTL,LAA,TB,2700,9.59,7.55,Erasmo Ramirez,0.388,5.72,0,0
Randal Grichuk,OF/UTL,LAA,TB,2700,8.73,9.46,Erasmo Ramirez,0.473,5.72,0,0
Hunter Renfroe,OF/UTL,LAA,TB,2600,9.41,8.79,Erasmo Ramirez,0.433,5.72,0,0
Mike Moustakas,C1B/3B/UTL,LAA,TB,2600,9.55,8.11,Erasmo Ramirez,0.452,5.72,0,0
Matt Thaiss,C1B/UTL,LAA,TB,2300,7.39,6.54,Erasmo Ramirez,0.346,5.72,0,0
Eduardo Escobar,3B/2B/UTL,LAA,TB,2200,0,6.55,Erasmo Ramirez,0.373,5.72,0,0
Jose Altuve,2B/UTL,HOU,SEA,4400,11.24,14.28,Bryce Miller,0.536,4.04,0,0
Yordan Alvarez,OF/UTL,HOU,SEA,4100,12.59,13.36,Bryce Miller,0.571,4.04,0,0
Kyle Tucker,OF/UTL,HOU,SEA,4000,12.52,13.05,Bryce Miller,0.526,4.04,0,0
Chas McCormick,OF/UTL,HOU,SEA,3400,9.37,12.05,Bryce Miller,0.539,4.04,0,0
Alex Bregman,3B/UTL,HOU,SEA,3400,10.35,10.91,Bryce Miller,0.418,4.04,0,0
Jeremy Pena,SS/UTL,HOU,SEA,2800,8.59,8.95,Bryce Miller,0.369,4.04,0,0
Mauricio Dubon,2B/SS/OF/UTL,HOU,SEA,2600,0,8.16,Bryce Miller,0.366,4.04,0,0
Jon Singleton,C1B/UTL,HOU,SEA,2300,8.29,6.76,Bryce Miller,0.259,4.04,0,0
Martin Maldonado,C1B/UTL,HOU,SEA,2200,6.43,5.5,Bryce Miller,0.308,4.04,0,0
Luis Robert Jr.,OF/UTL,CWS,COL,4400,15.59,12.31,Peter Lambert,0.567,5.46,0,0
Eloy Jimenez,OF/UTL,CWS,COL,3500,13.38,9.38,Peter Lambert,0.452,5.46,0,0
Andrew Vaughn,C1B/UTL,CWS,COL,3400,12.02,9.21,Peter Lambert,0.425,5.46,0,0
Andrew Benintendi,OF/UTL,CWS,COL,3100,13.78,8.39,Peter Lambert,0.354,5.46,0,0
Yoan Moncada,3B/UTL,CWS,COL,3000,12.49,7.14,Peter Lambert,0.354,5.46,0,0
Elvis Andrus,SS/2B/UTL,CWS,COL,2900,13.35,7.05,Peter Lambert,0.318,5.46,0,0
Gavin Sheets,C1B/OF/UTL,CWS,COL,2800,0,5.59,Peter Lambert,0.366,5.46,0,0
Yasmani Grandal,C1B/UTL,CWS,COL,2800,11.68,6.49,Peter Lambert,0.356,5.46,0,0
Oscar Colas,OF/UTL,CWS,COL,2800,10.95,5.76,Peter Lambert,0.285,5.46,0,0
Ryan McMahon,2B/3B/UTL,COL,CWS,3700,13.15,10.41,Michael Kopech,0.464,4.58,0,0
Nolan Jones,OF/C1B/UTL,COL,CWS,3400,12.25,10.12,Michael Kopech,0.505,4.58,0,0
Ezequiel Tovar,SS/UTL,COL,CWS,3300,13.12,9.02,Michael Kopech,0.432,4.58,0,0
Jurickson Profar,OF/UTL,COL,CWS,3200,10.98,8.48,Michael Kopech,0.367,4.58,0,0
Elias Diaz,C1B/UTL,COL,CWS,3100,11.59,7.76,Michael Kopech,0.405,4.58,0,0
Michael Toglia,C1B/UTL,COL,CWS,2800,0,4.97,Michael Kopech,0.245,4.58,0,0
Brendan Rodgers,2B/UTL,COL,CWS,2800,11.42,6.58,Michael Kopech,0.277,4.58,0,0
Brenton Doyle,OF/UTL,COL,CWS,2800,10.08,7.09,Michael Kopech,0.328,4.58,0,0
Elehuris Montero,3B/C1B/UTL,COL,CWS,2700,9.6,6.14,Michael Kopech,0.347,4.58,0,0
Ronald Acuna Jr.,OF/UTL,ATL,SF,4700,14.41,16.49,Alex Cobb,0.573,3.62,0,0
Matt Olson,C1B/UTL,ATL,SF,4500,13.27,14.73,Alex Cobb,0.615,3.62,0,0
Austin Riley,3B/UTL,ATL,SF,4000,11.7,12.02,Alex Cobb,0.514,3.62,0,0
Travis d'Arnaud,C1B/UTL,ATL,SF,2900,0,9.38,Alex Cobb,0.452,3.62,0,0
Michael Harris II,OF/UTL,ATL,SF,2900,12.86,9.41,Alex Cobb,0.445,3.62,0,0
Eddie Rosario,OF/UTL,ATL,SF,2800,10.16,8.77,Alex Cobb,0.464,3.62,0,0
Marcell Ozuna,OF/UTL,ATL,SF,2700,10.78,10.14,Alex Cobb,0.481,3.62,0,0
Orlando Arcia,SS/UTL,ATL,SF,2700,9.26,8.81,Alex Cobb,0.443,3.62,0,0
Nicky Lopez,3B/2B/SS/UTL,ATL,SF,2100,8.05,5.68,Alex Cobb,0.316,3.62,0,0
Corbin Carroll,OF/UTL,ARI,SD,3800,11.86,12.78,Seth Lugo,0.504,4.16,0,0
Christian Walker,C1B/UTL,ARI,SD,3600,9.9,12.08,Seth Lugo,0.54,4.16,0,0
Ketel Marte,2B/UTL,ARI,SD,3400,10.85,11.33,Seth Lugo,0.482,4.16,0,0
Lourdes Gurriel Jr.,OF/UTL,ARI,SD,3000,9.35,9.89,Seth Lugo,0.467,4.16,0,0
Tommy Pham,OF/UTL,ARI,SD,2900,8.94,9.19,Seth Lugo,0.467,4.16,0,0
Geraldo Perdomo,SS/2B/UTL,ARI,SD,2800,7.87,8.79,Seth Lugo,0.403,4.16,0,0
Buddy Kennedy,3B/UTL,ARI,SD,2000,0,7.23,Seth Lugo,0.2,4.16,0,0
Nick Ahmed,SS/UTL,ARI,SD,2300,0,5.39,Seth Lugo,0.331,4.16,0,0
Alek Thomas,OF/UTL,ARI,SD,2300,8.56,6.67,Seth Lugo,0.407,4.16,0,0
Michael Lorenzen,P,PHI,WSH,10200,0,29.85,,0,0,24.51,3.23
Sandy Alcantara,P,MIA,LAD,10000,0,30.75,,0,0,25.59,4.09
Kyle Gibson,P,BAL,OAK,9900,0,27.2,,0,0,28.76,4.89
J.P. France,P,HOU,SEA,9700,0,31.18,,0,0,27.21,2.74
Brayan Bello,P,BOS,NYY,9000,0,28.8,,0,0,26.49,3.81
Seth Lugo,P,SD,ARI,8800,0,27.94,,0,0,28.63,4.16
Andrew Heaney,P,TEX,MIL,8600,0,27.09,,0,0,25.92,4.17
Bryce Miller,P,SEA,HOU,8400,0,28.35,,0,0,23.23,4.04
Tony Gonsolin,P,LAD,MIA,8000,0,24.32,,0,0,26.25,4.24
Alex Cobb,P,SF,ATL,7800,0,28.36,,0,0,22.22,3.62
Michael Kopech,P,CWS,COL,7400,0,25.59,,0,0,25.02,4.58
Tyler Anderson,P,LAA,TB,7300,0,22.14,,0,0,24.88,5.28
Brandon Pfaadt,P,ARI,SD,6800,0,17.82,,0,0,20.89,6.91
Zack Thompson,P,STL,NYM,6200,0,9.18,,0,0,21.28,3.96
Peter Lambert,P,COL,CWS,6000,0,12.15,,0,0,16.32,5.46
Joan Adon,P,WSH,PHI,5900,0,17.5,,0,0,19.54,5.14
Andre Jackson,P,PIT,MIN,5800,0,11.5,,0,0,19.33,5.47
Erasmo Ramirez,P,TB,LAA,5600,0,4.37,,0,0,14.21,5.72
